Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1311,Vincennes University,State School,"$51,900 ","$85,600 ",62%,3%
1314,Salem College,"Liberal Arts School, Private School, Religious","$48,400 ","$85,500 ",58%,18%
1314,Winston-Salem State University,State School,"$57,900 ","$85,500 ",73%,10%
1314,Florida State College at Jacksonville,State School,"$54,600 ","$85,500 ",51%,6%
1314,University of Mobile,"Private School, Religious","$49,900 ","$85,500 ",74%,4%
1314,Amridge University,"Private School, Religious","$49,600 ","$85,500 ",-,0%
1314,Fontbonne University,"Private School, Religious","$55,200 ","$85,500 ",63%,12%
1314,Kentucky State University,State School,"$50,700 ","$85,500 ",64%,14%
1314,Buena Vista University,"Private School, Religious","$51,100 ","$85,500 ",60%,3%
1322,University of Science and Arts of Oklahoma,"Liberal Arts School, State School","$48,100 ","$85,400 ",51%,12%
1322,Indiana University-East,State School,"$57,300 ","$85,400 ",43%,14%
1324,Albany State University,State School,"$50,800 ","$85,300 ",72%,6%
1325,Indiana University-Southeast,State School,"$51,000 ","$85,200 ",41%,10%
1325,Quincy University,"Private School, Religious","$51,500 ","$85,200 ",58%,8%
1327,Pfeiffer University,"Private School, Religious","$54,800 ","$85,100 ",54%,7%
1327,New Mexico Highlands University,State School,"$51,100 ","$85,100 ",73%,5%
1327,Castleton University,State School,"$51,200 ","$85,100 ",51%,8%
1330,Lincoln College,Private School,"$57,300 ","$85,000 ",47%,1%
1331,Liberty University,"Private School, Religious, Research University, For Sports Fans","$55,200 ","$84,900 ",61%,4%
1331,Maryville College,"Liberal Arts School, Private School, Religious","$53,200 ","$84,900 ",71%,17%
1331,Governors State University,State School,"$55,400 ","$84,900 ",54%,15%
1334,University of the Cumberlands,"Private School, Religious, Research University","$50,300 ","$84,800 ",66%,25%
1335,St. Andrews University,"Private School, Religious","$48,800 ","$84,700 ",36%,5%
1336,Minot State University,State School,"$55,400 ","$84,600 ",63%,4%
1336,Life Pacific University,"Private School, Religious","$51,900 ","$84,600 ",83%,0%
1338,Carson-Newman University,"Private School, Religious","$52,000 ","$84,500 ",59%,5%
1338,Paul Quinn College,"Private School, Religious","$49,600 ","$84,500 ",-,1%
1340,Culinary Institute of America,Private School,"$53,300 ","$84,400 ",50%,0%
1340,Wesley College,"Private School, Religious","$58,500 ","$84,400 ",56%,4%
1342,Hannibal-LaGrange University,"Private School, Religious","$49,600 ","$84,300 ",59%,4%
1342,Manhattan Christian College,"Private School, Religious","$47,500 ","$84,300 ",60%,0%
1344,The University of Tennessee-Martin,"For Sports Fans, State School","$54,300 ","$84,200 ",57%,7%
1344,Southwest Baptist University,"Private School, Religious","$51,200 ","$84,200 ",53%,8%
1346,Carlow University,"Private School, Religious","$53,900 ","$84,100 ",59%,11%
1346,College of Biblical Studies-Houston,"Private School, Religious","$53,100 ","$84,100 ",-,0%
1346,Lakeland University,"Business, Private School, Religious","$58,100 ","$84,100 ",46%,7%
1346,Crown College,"Private School, Religious","$54,100 ","$84,100 ",77%,2%
1350,Georgia Southwestern State University,State School,"$52,700 ","$84,000 ",46%,5%
1350,Gordon State College,State School,"$53,000 ","$84,000 ",-,9%
1350,University of Maine at Presque Isle,State School,"$49,300 ","$84,000 ",64%,5%
1350,New Orleans Baptist Theological Seminary,"Private School, Religious","$49,400 ","$84,000 ",-,0%
1354,Erskine College,"Liberal Arts School, Private School, Religious","$55,100 ","$83,900 ",57%,20%
1354,North Central University,"Private School, Religious","$55,100 ","$83,900 ",73%,0%
1354,University of Pikeville,"Liberal Arts School, Private School, Religious","$48,300 ","$83,900 ",-,9%
1357,Pensacola State College,State School,"$50,900 ","$83,800 ",55%,6%
1357,Blackburn College,"Private School, Religious","$53,100 ","$83,800 ",51%,29%
1357,Davenport University,"Business, Private School","$56,400 ","$83,800 ",51%,13%
1360,Bluefield University,"Private School, Religious","$52,000 ","$83,700 ",64%,31%
1360,University of Hawaii at Hilo,State School,"$53,900 ","$83,700 ",63%,12%
1360,Asbury University,Private School,"$48,900 ","$83,700 ",61%,6%
1363,Belhaven University,"Business, Private School, Religious","$50,600 ","$83,600 ",61%,2%
1363,Missouri Valley College,"Private School, Religious","$50,000 ","$83,600 ",70%,6%
1363,Kentucky Christian University,"Private School, Religious","$49,900 ","$83,600 ",-,7%
1363,University of Maine at Augusta,State School,"$52,800 ","$83,600 ",59%,14%
1367,Palm Beach State College,State School,"$54,800 ","$83,500 ",70%,4%
1367,Jackson State University,"Research University, For Sports Fans, State School","$52,700 ","$83,500 ",66%,18%
1369,Lee University,"Private School, Religious","$53,100 ","$83,400 ",62%,3%
1369,Friends University,Private School,"$54,800 ","$83,400 ",57%,8%
1371,Lees-McRae College,"Private School, Religious","$50,900 ","$83,300 ",63%,19%
1371,Springfield College,Private School,"$54,100 ","$83,300 ",65%,5%
1373,Gardner-Webb University,"Private School, Religious, Research University, For Sports Fans","$51,600 ","$83,100 ",63%,6%
1373,Rochester University,"Private School, Religious","$47,500 ","$83,100 ",43%,2%
1375,Life University,Private School,"$54,000 ","$83,000 ",-,11%
1376,Chestnut Hill College,"Private School, Religious","$51,000 ","$82,900 ",64%,8%
1376,Central Methodist University-College of Graduate and Extended Studies,"Private School, Religious","$46,800 ","$82,900 ",-,5%
1376,Simpson University,"Private School, Religious","$52,600 ","$82,900 ",56%,3%
1379,Edinboro University of Pennsylvania,State School,"$50,800 ","$82,800 ",48%,5%
1379,Eastern Oregon University,State School,"$55,400 ","$82,800 ",51%,5%
1379,Delta State University,State School,"$49,300 ","$82,800 ",62%,5%
1382,Ottawa University-Phoenix,"Private School, Religious","$51,700 ","$82,700 ",61%,20%
1382,University of Maine at Fort Kent,State School,"$58,600 ","$82,700 ",72%,4%
1384,University of Northwestern Ohio,Private School,"$51,800 ","$82,600 ",52%,1%
1384,Northern Vermont University,State School,"$47,700 ","$82,600 ",46%,6%
1384,Maranatha Baptist University,"Private School, Religious","$55,300 ","$82,600 ",60%,2%
1384,Northwest Florida State College,State School,"$59,000 ","$82,600 ",58%,3%
1384,Cornerstone University,"Private School, Religious","$51,900 ","$82,600 ",65%,1%
1389,Moore College of Art and Design,"Art, Private School","$49,200 ","$82,400 ",42%,0%
1389,Evangel University,"Private School, Religious","$50,500 ","$82,400 ",70%,4%
1391,Tennessee Wesleyan University,"Private School, Religious","$52,800 ","$82,300 ",57%,2%
1392,Indian River State College,State School,"$52,500 ","$82,200 ",60%,4%
1392,Lewis-Clark State College,State School,"$57,300 ","$82,200 ",68%,7%
1392,Martin Luther College,"Private School, Religious","$47,800 ","$82,200 ",-,0%
1395,La Roche University,"Private School, Religious","$53,000 ","$82,100 ",46%,15%
1395,Hodges University,Private School,"$49,900 ","$82,100 ",69%,11%
1397,Art Academy of Cincinnati,"Art, Private School","$46,400 ","$82,000 ",35%,0%
1397,Elizabeth City State University,State School,"$52,000 ","$82,000 ",77%,16%
1397,SUNY Brockport,State School,"$56,000 ","$82,000 ",58%,8%
1397,Middle Georgia State University,State School,"$52,300 ","$82,000 ",57%,15%
1401,Lincoln University (Missouri),State School,"$47,000 ","$81,900 ",56%,10%
1402,Trine University-Regional/Non-Traditional Campuses,"Business, Private School","$46,700 ","$81,800 ",-,18%
1403,Alabama State University,"For Sports Fans, State School","$48,200 ","$81,700 ",60%,17%
1404,Dalton State College,State School,"$53,100 ","$81,600 ",52%,9%
1404,St Petersburg College,State School,"$57,000 ","$81,600 ",52%,9%
1404,Berea College,"Liberal Arts School, Private School","$51,500 ","$81,600 ",55%,24%
1407,Union Institute & University,"Private School, Research University","$52,100 ","$81,500 ",83%,0%
1407,Chipola College,State School,"$45,900 ","$81,500 ",-,0%
1409,Central State University,State School,"$50,100 ","$81,400 ",53%,14%
1409,Moody Bible Institute,"Private School, Religious","$53,100 ","$81,400 ",65%,0%
1411,Marywood University,"Private School, Religious","$52,100 ","$81,300 ",54%,6%
1411,Hilbert College,"Private School, Religious","$50,000 ","$81,300 ",52%,3%
1411,Mid-America Christian University,"Private School, Religious","$49,400 ","$81,300 ",65%,0%
1411,Bryan College-Dayton,"Business, Private School, Religious","$48,200 ","$81,300 ",55%,1%
1411,Savannah State University,"For Sports Fans, State School","$50,500 ","$81,300 ",71%,20%
1411,University of Maine at Farmington,State School,"$52,700 ","$81,300 ",60%,10%
1417,Paine College,"Liberal Arts School, Private School, Religious","$44,200 ","$81,200 ",-,0%
1417,Bethel College-North Newton,"Liberal Arts School, Private School, Religious","$53,500 ","$81,200 ",-,11%
1419,Keystone College,Private School,"$47,900 ","$81,100 ",41%,15%
1420,Metropolitan College of New York,"Business, Private School","$53,200 ","$81,000 ",40%,0%
1421,North Carolina Central University,"For Sports Fans, State School","$53,000 ","$80,900 ",65%,8%
1422,Cincinnati College of Mortuary Science,Private School,"$46,200 ","$80,800 ",-,0%
1422,Reinhardt University,"Private School, Religious","$50,500 ","$80,800 ",47%,4%
1422,University of Arkansas at Pine Bluff,"For Sports Fans, State School","$52,400 ","$80,800 ",58%,17%
1425,Grace Christian University,"Private School, Religious","$48,000 ","$80,600 ",-,0%
1425,Briar Cliff University,"Private School, Religious","$55,000 ","$80,600 ",57%,6%
1427,Polk State College,State School,"$52,300 ","$80,400 ",57%,1%
1427,Calvary University,"Private School, Religious","$49,000 ","$80,400 ",-,0%
1429,Mount Aloysius College,"Private School, Religious","$50,400 ","$80,300 ",71%,5%
1429,Mars Hill University,Private School,"$50,700 ","$80,300 ",51%,11%
1429,William Penn University,"Private School, Religious","$55,800 ","$80,300 ",57%,10%
1432,Medaille College,Private School,"$50,900 ","$80,200 ",57%,3%
1432,Sul Ross State University,State School,"$49,100 ","$80,200 ",74%,8%
1434,Mary Baldwin University,"Private School, Religious","$47,500 ","$80,100 ",60%,3%
1434,Thomas University,Private School,"$48,200 ","$80,100 ",67%,10%
1434,Peru State College,State School,"$52,900 ","$80,100 ",53%,4%
1434,Central Christian College of Kansas,"Private School, Religious","$52,000 ","$80,100 ",-,1%
1438,University of the Southwest,Private School,"$51,900 ","$80,000 ",-,7%
1439,Heritage University,Private School,"$51,800 ","$79,900 ",-,15%
1439,Brewton-Parker College,"Private School, Religious","$44,700 ","$79,900 ",-,6%
1439,University of Arkansas-Fort Smith,State School,"$51,000 ","$79,900 ",61%,13%
1439,Talladega College,"Private School, Religious","$43,000 ","$79,900 ",-,21%
1439,Maine College of Art & Design,"Art, Private School","$49,300 ","$79,900 ",30%,0%
1444,University of Mount Olive,"Private School, Religious","$52,200 ","$79,500 ",71%,4%
1445,Valley City State University,State School,"$48,500 ","$79,400 ",56%,3%
1445,Johnson & Wales University-Charlotte,Private School,"$48,700 ","$79,400 ",44%,0%
1447,University of Valley Forge,"Private School, Religious","$47,500 ","$79,300 ",-,0%
1447,Grambling State University,"For Sports Fans, State School","$53,300 ","$79,300 ",68%,11%
1449,University of North Carolina at Pembroke,State School,"$48,900 ","$79,200 ",65%,11%
1449,Lancaster Bible College,Private School,"$52,800 ","$79,200 ",70%,0%
1451,Chowan University,"Private School, Religious","$50,000 ","$78,900 ",49%,9%
1452,Black Hills State University,State School,"$50,500 ","$78,800 ",66%,10%
1452,Saint Mary-of-the-Woods College,"Private School, Religious","$51,600 ","$78,800 ",65%,0%
1454,Lincoln Christian University,"Private School, Religious","$49,000 ","$78,700 ",74%,0%
1454,Concordia University Ann Arbor,"Private School, Religious","$42,500 ","$78,700 ",53%,6%
1456,Anderson University (South Carolina),"Private School, Religious","$50,700 ","$78,600 ",50%,4%
1457,Bethune-Cookman University,"Liberal Arts School, Private School, Religious, For Sports Fans","$52,000 ","$78,500 ",55%,6%
1458,William Woods University,"Private School, Religious","$49,800 ","$78,400 ",64%,4%
1458,Midway University,"Private School, Religious","$48,900 ","$78,400 ",68%,3%
1460,Broward College,State School,"$57,300 ","$78,300 ",56%,8%
1461,Florida Memorial University,"Private School, Religious","$46,600 ","$78,200 ",-,11%
1462,Philander Smith College,"Liberal Arts School, Private School, Religious","$44,200 ","$78,000 ",-,21%
1462,Harris-Stowe State University,State School,"$47,200 ","$78,000 ",60%,22%
1464,Lincoln Memorial University,Private School,"$52,000 ","$77,800 ",66%,7%
1465,Ohio State University-Lima Campus,State School,"$47,500 ","$77,600 ",-,4%
1465,Bay Path University,Private School,"$55,200 ","$77,600 ",59%,5%
1467,Central Baptist College,"Private School, Religious","$42,900 ","$77,400 ",-,3%
1468,College of Coastal Georgia,State School,"$51,400 ","$77,300 ",-,6%
1469,Tougaloo College,"Liberal Arts School, Private School, Religious","$44,600 ","$77,200 ",-,23%
1470,Northland College,"Liberal Arts School, Private School, Religious","$46,300 ","$77,100 ",63%,27%
1471,The University of Montana-Western,State School,"$46,000 ","$77,000 ",64%,4%
1471,William Carey University,"Private School, Religious","$50,900 ","$77,000 ",66%,5%
1473,Alcorn State University,"For Sports Fans, State School","$55,300 ","$76,900 ",66%,26%
1474,Livingstone College,"Private School, Religious","$45,000 ","$76,000 ",-,24%
1475,Clarks Summit University,"Private School, Religious","$48,500 ","$75,400 ",73%,1%
1475,Columbia College (South Carolina),"Private School, Religious","$50,700 ","$75,400 ",57%,5%
1477,Converse University,Private School,"$50,000 ","$75,300 ",51%,9%
1478,Fayetteville State University,State School,"$47,600 ","$75,200 ",67%,8%
1479,Hallmark University,Private School,"$46,300 ","$75,100 ",-,32%
1479,Nazarene Bible College,"Private School, Religious","$46,800 ","$75,100 ",-,0%
1479,Louisiana State University-Alexandria,"Liberal Arts School, State School","$45,800 ","$75,100 ",59%,4%
1482,Concordia University-Nebraska,"Private School, Religious","$50,100 ","$74,800 ",43%,3%
1483,Bethel University (Tennessee),"Private School, Religious","$48,000 ","$74,600 ",60%,1%
1483,Miles College,"Private School, Religious","$43,600 ","$74,600 ",59%,18%
1485,Martin University,"Liberal Arts School, Private School","$42,900 ","$74,200 ",-,0%
1486,Voorhees College,"Private School, Religious","$38,600 ","$74,100 ",-,13%
1486,Mississippi University for Women,State School,"$50,200 ","$74,100 ",72%,2%
1488,Fort Valley State University,State School,"$43,400 ","$74,000 ",61%,16%
1488,Keiser University-Ft Lauderdale,Private School,"$55,100 ","$74,000 ",66%,5%
1490,Le Moyne-Owen College,"Private School, Religious","$52,100 ","$73,900 ",57%,14%
1491,Saint Augustine's University,"Private School, Religious","$47,900 ","$73,700 ",60%,19%
1492,Virginia Union University,"Liberal Arts School, Private School, Religious","$48,700 ","$73,400 ",75%,21%
1492,King University,"Private School, Religious","$50,900 ","$73,400 ",62%,6%
1492,Benedict College,"Private School, Religious","$48,300 ","$73,400 ",65%,23%
1495,Cheyney University of Pennsylvania,"Liberal Arts School, State School","$48,000 ","$73,000 ",67%,24%
1495,Campbellsville University,"Private School, Religious","$47,400 ","$73,000 ",41%,49%
1497,Ohio Christian University,"Private School, Religious","$46,900 ","$72,400 ",64%,0%
1497,Ozark Christian College,"Private School, Religious","$44,000 ","$72,400 ",84%,0%
1499,Trinity Bible College and Graduate School,"Private School, Religious","$44,500 ","$72,200 ",-,0%
1500,Prescott College,Private School,"$52,500 ","$71,800 ",81%,0%
1501,Pacific Oaks College,Private School,"$43,100 ","$71,400 ",-,0%
1502,Rust College,"Private School, Religious","$44,000 ","$71,200 ",83%,40%
1503,West Virginia University at Parkersburg,State School,"$44,700 ","$71,000 ",56%,2%
1504,"Springfield College-Regional, Online, and Continuing Education",Private School,"$44,100 ","$70,700 ",-,0%
1505,Coker University,Private School,"$45,200 ","$70,600 ",63%,7%
1505,Lindsey Wilson College,"Private School, Religious","$43,000 ","$70,600 ",56%,2%
1507,Lane College,"Private School, Religious","$45,800 ","$70,100 ",56%,13%
1508,Wilson College,"Private School, Religious","$44,200 ","$69,500 ",74%,3%
1508,Southern University at New Orleans,State School,"$49,900 ","$69,500 ",67%,14%
1510,Mississippi Valley State University,"For Sports Fans, State School","$37,600 ","$68,700 ",77%,12%
1511,Baptist Bible College,"Private School, Religious","$41,800 ","$68,200 ",-,0%
1512,Edward Waters University,"Private School, Religious","$39,500 ","$68,100 ",-,16%
1513,Toccoa Falls College,"Private School, Religious","$46,900 ","$68,000 ",79%,1%
1514,Stillman College,"Liberal Arts School, Private School, Religious","$46,700 ","$67,700 ",47%,16%
1515,Wiley College,"Private School, Religious","$43,900 ","$66,300 ",-,9%
1516,Shaw University,"Private School, Religious","$43,500 ","$66,200 ",78%,12%
1517,Claflin University,"Liberal Arts School, Private School, Religious","$46,700 ","$65,700 ",75%,17%
1517,Texas College,"Private School, Religious","$41,300 ","$65,700 ",-,11%
1519,Morris College,"Private School, Religious","$38,400 ","$65,600 ",65%,8%
1520,The Baptist College of Florida,"Private School, Religious","$40,400 ","$64,900 ",-,0%
1521,Johnson University,"Private School, Religious","$41,300 ","$64,500 ",71%,0%
1522,Great Lakes Christian College,"Private School, Religious","$38,400 ","$63,000 ",-,0%
