Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
176,Golden Gate University,"Business, Private School","$69,700 ","$129,400 ",53%,3%
176,University of Massachusetts-Lowell,"Research University, For Sports Fans, State School","$72,300 ","$129,400 ",51%,38%
180,Wagner College,"Private School, Religious, For Sports Fans","$69,800 ","$129,100 ",39%,5%
180,Embry-Riddle Aeronautical University-Daytona Beach,Private School,"$79,700 ","$129,100 ",62%,37%
182,Art Center College of Design,"Art, Private School","$78,100 ","$128,900 ",40%,4%
183,University of California-Riverside,"Research University, For Sports Fans, State School","$68,600 ","$128,800 ",52%,36%
184,North Carolina State University at Raleigh,"Research University, For Sports Fans, State School","$70,800 ","$128,600 ",51%,45%
184,St Olaf College,"Liberal Arts School, Private School, Religious","$67,500 ","$128,600 ",46%,25%
186,Colby College,"Liberal Arts School, Private School","$73,900 ","$128,500 ",54%,31%
187,University of Portland,"Private School, Religious, For Sports Fans","$73,100 ","$128,400 ",48%,30%
188,Juniata College,"Liberal Arts School, Private School","$61,100 ","$128,300 ",47%,36%
189,George Mason University,"Research University, For Sports Fans, State School","$72,300 ","$128,200 ",48%,23%
189,Rhodes College,"Liberal Arts School, Private School, Religious","$61,700 ","$128,200 ",46%,32%
191,Marquette University,"Private School, Religious, Research University, For Sports Fans","$71,400 ","$128,000 ",52%,25%
191,Bryant University,"Business, Private School, For Sports Fans","$73,800 ","$128,000 ",39%,5%
193,University of Delaware,"Party School, Research University, For Sports Fans, State School","$71,600 ","$127,600 ",46%,24%
194,University of Dayton,"Party School, Private School, Religious, Research University, For Sports Fans","$70,400 ","$127,300 ",44%,32%
194,Willamette University,"Liberal Arts School, Private School","$62,700 ","$127,300 ",55%,14%
196,Fashion Institute of Technology,State School,"$65,400 ","$127,200 ",28%,0%
196,Wheaton College,"Liberal Arts School, Private School, Religious, Sober School","$65,900 ","$127,200 ",53%,13%
198,St. John's University-New York,"Private School, Religious, Research University, For Sports Fans","$66,100 ","$127,100 ",43%,11%
198,Pratt Institute-Main,"Art, Private School","$64,600 ","$127,100 ",38%,3%
200,University of Alabama in Huntsville,"Research University, State School","$71,000 ","$127,000 ",57%,44%
201,Lawrence University,"Liberal Arts School, Private School","$60,300 ","$126,900 ",51%,22%
202,Walla Walla University,"Private School, Religious","$65,400 ","$126,800 ",56%,18%
202,California Institute of Integral Studies,"Private School, Research University","$68,600 ","$126,800 ",-,0%
204,DePaul University,"Private School, Religious, Research University, For Sports Fans","$68,100 ","$126,700 ",44%,16%
205,Stonehill College,"Liberal Arts School, Private School, Religious","$68,600 ","$126,600 ",42%,14%
206,St. John's College (Maryland),"Liberal Arts School, Private School","$64,300 ","$126,500 ",66%,0%
207,Purdue University-Main Campus,"Research University, For Sports Fans, State School","$75,100 ","$126,300 ",49%,43%
208,Rochester Institute of Technology,"Engineering, Private School, Research University","$77,700 ","$126,100 ",47%,54%
208,Seattle Pacific University,"Private School, Religious, Research University","$66,600 ","$126,100 ",54%,12%
210,University of Tulsa,"Private School, Religious, Research University, For Sports Fans","$72,100 ","$126,000 ",51%,36%
210,University of Connecticut,"Party School, Research University, For Sports Fans, State School","$73,800 ","$126,000 ",46%,27%
212,University of Utah,"Research University, For Sports Fans, State School","$68,100 ","$125,900 ",57%,23%
212,University of Wisconsin-Madison,"Party School, Research University, For Sports Fans, State School","$72,300 ","$125,900 ",47%,30%
214,James Madison University,"For Sports Fans, State School","$70,000 ","$125,700 ",44%,14%
214,University of Minnesota-Twin Cities,"Research University, For Sports Fans, State School","$71,000 ","$125,700 ",52%,30%
216,Albion College,"Liberal Arts School, Private School","$61,600 ","$125,500 ",45%,23%
217,Hamilton College,"Liberal Arts School, Private School","$74,600 ","$125,400 ",46%,26%
218,Clemson University,"Research University, For Sports Fans, State School","$70,500 ","$125,200 ",49%,35%
218,Texas Tech University,"Research University, For Sports Fans, State School","$68,400 ","$125,200 ",54%,25%
218,Connecticut College,"Liberal Arts School, Private School","$72,100 ","$125,200 ",54%,30%
221,Marist College,"Private School, For Sports Fans","$69,200 ","$125,100 ",30%,16%
221,SUNY at Albany,"Research University, For Sports Fans, State School","$64,900 ","$125,100 ",45%,20%
223,University of Georgia,"Research University, For Sports Fans, State School","$68,400 ","$124,800 ",43%,16%
224,Saint Joseph's University,"Private School, Religious, For Sports Fans","$69,300 ","$124,600 ",39%,6%
225,University of Redlands,Private School,"$67,300 ","$124,500 ",53%,4%
226,University of Dallas,"Private School, Religious","$64,900 ","$124,300 ",52%,21%
227,Morehouse College,"Liberal Arts School, Private School","$68,800 ","$124,200 ",56%,24%
228,Ohio Northern University,"Private School, Religious","$69,700 ","$124,100 ",49%,21%
228,Vassar College,"Liberal Arts School, Private School","$66,100 ","$124,100 ",51%,29%
228,San Diego State University,"Research University, For Sports Fans, State School","$68,800 ","$124,100 ",50%,18%
231,Oregon State University,"Research University, For Sports Fans, State School","$70,000 ","$124,000 ",52%,35%
231,Skidmore College,"Liberal Arts School, Private School","$66,700 ","$124,000 ",49%,19%
231,Washington State University,"Research University, For Sports Fans, State School","$69,200 ","$124,000 ",49%,22%
234,University of Florida,"Research University, For Sports Fans, State School","$68,300 ","$123,700 ",52%,31%
235,Western Washington University,State School,"$68,100 ","$123,600 ",45%,17%
236,Bradley University,"Private School, For Sports Fans","$67,500 ","$123,500 ",47%,21%
236,The Pennsylvania State University,"Research University, State School","$71,700 ","$123,500 ",47%,32%
238,Pepperdine University,"Private School, Religious, Research University, For Sports Fans","$72,600 ","$123,400 ",51%,5%
239,Baylor University,"Private School, Religious, Research University, Sober School, For Sports Fans","$67,400 ","$123,300 ",50%,14%
239,University of Houston,"Research University, For Sports Fans, State School","$68,700 ","$123,300 ",49%,24%
